Current Offset,Sample Number,Title,Trigger Offset,Time End,Time Start,U Sec,Time Of Threshold
8593,16384,wf_0,9791,1662555464.8063242,1662555464.806193,806193,992
16139,16384,wf_1,953,1662555464.8133428,1662555464.8132117,813211,448
2917,16384,wf_2,4115,1662555464.8296125,1662555464.8294814,829481,720
9892,16384,wf_3,11090,1662555464.8571177,1662555464.8569865,856986,888
723,16384,wf_4,1921,1662555464.8680034,1662555464.8678722,867872,744
8774,16384,wf_5,9972,1662555464.8791046,1662555464.8789735,878973,824
15950,16384,wf_6,764,1662555464.8902535,1662555464.8901224,890122,752
10131,16384,wf_7,11329,1662555464.893692,1662555464.893561,893560,432
11623,16384,wf_9,12821,1662555464.9049187,1662555464.9047875,904787,568
10981,16384,wf_10,12179,1662555464.9115262,1662555464.911395,911395,696
12065,16384,wf_11,13263,1662555464.9151134,1662555464.9149823,914982,720
11856,16384,wf_12,13054,1662555464.920708,1662555464.9205768,920576,696
12388,16384,wf_13,13586,1662555464.9308498,1662555464.9307187,930718,504
14289,16384,wf_14,15487,1662555464.9424806,1662555464.9423494,942349,560
15681,16384,wf_15,495,1662555464.94602,1662555464.9458888,945888,584
15681,16384,wf_15,495,1662555464.94602,1662555464.9458888,945888,584
187,16384,wf_16,1385,1662555464.965371,1662555464.9652398,965239,504
6086,16384,wf_17,7284,1662555464.9780614,1662555464.9779303,977930,536
12059,16384,wf_18,13257,1662555464.9823856,1662555464.9822545,982254,960
8837,16384,wf_19,10035,1662555464.9915688,1662555464.9914377,991437,896
1306,16384,wf_21,2504,1662555465.0303624,1662555465.0302312,30231,600
9636,16384,wf_22,10834,1662555465.0468545,1662555465.0467234,46723,440
14253,16384,wf_23,15451,1662555465.0606103,1662555465.0604792,60479,528
3292,16384,wf_24,4490,1662555465.083906,1662555465.0837748,83774,960
601,16384,wf_25,1799,1662555465.0939255,1662555465.0937943,93794,456
748,16384,wf_26,1946,1662555465.0980322,1662555465.097901,97900,672
5017,16384,wf_27,6215,1662555465.1047442,1662555465.104613,104613,496
3744,16384,wf_28,4942,1662555465.1093752,1662555465.109244,109244,592
15586,16384,wf_29,400,1662555465.1144621,1662555465.114331,114331,552
14929,16384,wf_30,16127,1662555465.1208916,1662555465.1207604,120760,688
15481,16384,wf_31,295,1662555465.1439242,1662555465.143793,143793,528
8280,16384,wf_32,9478,1662555465.1484168,1662555465.1482856,148285,904
4351,16384,wf_33,5549,1662555465.154732,1662555465.1546009,154600,496
2744,16384,wf_34,3942,1662555465.165007,1662555465.164876,164875,664
11318,16384,wf_35,12516,1662555465.1887727,1662555465.1886415,188641,960
2172,16384,wf_36,3370,1662555465.1944008,1662555465.1942697,194269,736
12146,16384,wf_37,13344,1662555465.2199488,1662555465.2198176,219817,672
7715,16384,wf_38,8913,1662555465.2277102,1662555465.227579,227579,1128
14102,16384,wf_39,15300,1662555465.2345235,1662555465.2343924,234392,512
9186,16384,wf_40,10384,1662555465.2410517,1662555465.2409205,240920,792
138,16384,wf_41,1336,1662555465.2473547,1662555465.2472236,247223,432
14982,16384,wf_42,16180,1662555465.2699242,1662555465.269793,269792,720
4512,16384,wf_43,5710,1662555465.2738676,1662555465.2737365,273736,3064
9825,16384,wf_44,11023,1662555465.2781277,1662555465.2779965,277996,824
13668,16384,wf_45,14866,1662555465.2916002,1662555465.291469,291469,504
15256,16384,wf_46,70,1662555465.30179,1662555465.3016589,301658,592
478,16384,wf_47,1676,1662555465.3052013,1662555465.3050702,305070,736
1018,16384,wf_48,2216,1662555465.3388684,1662555465.3387372,338737,488
11101,16384,wf_49,12299,1662555465.3482976,1662555465.3481665,348166,608
7929,16384,wf_50,9127,1662555465.360256,1662555465.3601248,360124,952
4089,16384,wf_51,5287,1662555465.380237,1662555465.380106,380105,464
13659,16384,wf_52,14857,1662555465.3960986,1662555465.3959675,395967,448
14379,16384,wf_53,15577,1662555465.409945,1662555465.409814,409813,432
7675,16384,wf_54,8873,1662555465.436681,1662555465.43655,436549,952
2677,16384,wf_56,3875,1662555465.4463756,1662555465.4462445,446244,808
3517,16384,wf_57,4715,1662555465.4610887,1662555465.4609575,460957,608
8801,16384,wf_58,9999,1662555465.4649165,1662555465.4647853,464785,832
3023,16384,wf_59,4221,1662555465.4721277,1662555465.4719965,471996,504
14197,16384,wf_60,15395,1662555465.4880574,1662555465.4879262,487926,528
