Max,Time,Integral,Time Of Threshold,INTNS
[173.72726163],1662555464.8063242,[11779.1478452],992,[11779.1478452]
[38.45684288],1662555464.8133428,[4845.92845806],448,[4845.92845806]
[70.93151019],1662555464.8296125,[7069.71065804],720,[7069.71065804]
[115.1263582],1662555464.8571177,[9233.426932],888,[9233.426932]
[67.26895373],1662555464.8680034,[7157.61201318],744,[7157.61201318]
[74.47198144],1662555464.8791046,[7526.18727872],824,[7526.18727872]
[75.93700403],1662555464.8902535,[7065.68184593],752,[7065.68184593]
[44.07276279],1662555464.893692,[5148.45562202],432,[5148.45562202]
[51.2757905],1662555464.9049187,[5719.69234526],568,[5719.69234526]
[82.7737761],1662555464.9115262,[7431.93749237],696,[7431.93749237]
[71.41985106],1662555464.9151134,[6967.6474179],720,[6967.6474179]
[70.56525455],1662555464.920708,[6799.53607618],696,[6799.53607618]
[39.31143938],1662555464.9308498,[5203.76022464],504,[5203.76022464]
[47.00280796],1662555464.9424806,[5579.29434745],560,[5579.29434745]
[61.16469296],1662555464.94602,[6217.31168355],584,[6217.31168355]
[61.16469296],1662555464.94602,[6217.31168355],584,[6217.31168355]
[48.1015749],1662555464.965371,[5590.89244292],504,[5590.89244292]
[52.49664266],1662555464.9780614,[5754.85288732],536,[5754.85288732]
[131.36369186],1662555464.9823856,[10250.39677695],960,[10250.39677695]
[104.74911488],1662555464.9915688,[8576.36430228],896,[8576.36430228]
[51.15370529],1662555465.0303624,[5824.44146014],600,[5824.44146014]
[44.31693322],1662555465.0468545,[5042.72982542],440,[5042.72982542]
[42.97399585],1662555465.0606103,[5395.18984251],528,[5395.18984251]
[164.69295568],1662555465.083906,[12092.05225247],960,[12092.05225247]
[41.50897326],1662555465.0939255,[5131.48577707],456,[5131.48577707]
[81.06458308],1662555465.0980322,[7039.18935417],672,[7039.18935417]
[54.32792089],1662555465.1047442,[5702.47832987],496,[5702.47832987]
[66.65852765],1662555465.1093752,[6531.80319863],592,[6531.80319863]
[55.1825174],1662555465.1144621,[5875.71725064],552,[5875.71725064]
[78.25662312],1662555465.1208916,[7218.04419485],688,[7218.04419485]
[45.78195581],1662555465.1439242,[5387.2543035],528,[5387.2543035]
[89.97680381],1662555465.1484168,[8470.39433525],904,[8470.39433525]
[42.24148456],1662555465.154732,[5273.83713832],496,[5273.83713832]
[62.01928946],1662555465.165007,[6371.50531071],664,[6371.50531071]
[182.02905628],1662555465.1887727,[12096.81357588],960,[12096.81357588]
[76.18117446],1662555465.1944008,[7172.26223904],736,[7172.26223904]
[64.46099377],1662555465.2199488,[6618.97204249],672,[6618.97204249]
[259.30899768],1662555465.2277102,[17440.23928702],1128,[17440.23928702]
[50.17702356],1662555465.2345235,[5430.96081065],512,[5430.96081065]
[104.1386888],1662555465.2410517,[8444.39018435],792,[8444.39018435]
[39.18935417],1662555465.2473547,[4782.3220608],432,[4782.3220608]
[87.41301428],1662555465.2699242,[7539.00622635],720,[7539.00622635]
[953.11927726],1662555465.2738676,[78234.64778415],3064,[78234.64778415]
[100.47613234],1662555465.2781277,[8503.72359907],824,[8503.72359907]
[50.29910878],1662555465.2916002,[5575.63179099],504,[5575.63179099]
[59.33341472],1662555465.30179,[6067.75729459],592,[6067.75729459]
[64.58307899],1662555465.3052013,[6698.93785863],736,[6698.93785863]
[39.06726895],1662555465.3388684,[5138.68880479],488,[5138.68880479]
[51.15370529],1662555465.3482976,[5887.68160176],608,[5887.68160176]
[122.45147113],1662555465.360256,[9910.14528141],952,[9910.14528141]
[40.89854719],1662555465.380237,[5027.34708827],464,[5027.34708827]
[37.96850201],1662555465.3960986,[4974.48418996],448,[4974.48418996]
[40.16603589],1662555465.409945,[4996.94786961],432,[4996.94786961]
[114.76010255],1662555465.436681,[9401.17201807],952,[9401.17201807]
[103.89451837],1662555465.4463756,[8419.97314125],808,[8419.97314125]
[55.67085826],1662555465.4610887,[6003.78464168],608,[6003.78464168]
[114.39384691],1662555465.4649165,[8945.18373825],832,[8945.18373825]
[54.32792089],1662555465.4721277,[5739.83640581],504,[5739.83640581]
[51.39787572],1662555465.4880574,[5538.88414113],528,[5538.88414113]
[51.2757905],1662555465.4963174,[5784.27542425],592,[5784.27542425]
[72.76278843],1662555465.5010417,[6139.66548651],600,[6139.66548651]
[191.55170309],1662555465.507281,[13742.8885362],1144,[13742.8885362]
[72.03027713],1662555465.5134106,[7147.4789403],736,[7147.4789403]
[46.88072274],1662555465.5250058,[5383.95800269],528,[5383.95800269]
[46.63655231],1662555465.5333133,[5395.80026859],480,[5395.80026859]
[49.20034184],1662555465.5609145,[5245.02502747],440,[5245.02502747]
[72.76278843],1662555465.5672827,[6928.82431937],656,[6928.82431937]
[233.54901721],1662555465.5761168,[15744.35355878],1080,[15744.35355878]
[44.56110365],1662555465.5797017,[5463.31339275],560,[5463.31339275]
[50.29910878],1662555465.5953946,[5192.65047003],488,[5192.65047003]
[51.88621658],1662555465.6108317,[5695.51947259],528,[5695.51947259]
[59.33341472],1662555465.6181917,[6001.83127823],528,[6001.83127823]
[42.11939934],1662555465.627148,[5170.18679038],480,[5170.18679038]
[100.35404712],1662555465.6368356,[8506.16530338],848,[8506.16530338]
[178.12232939],1662555465.6700838,[13040.89854719],1032,[13040.89854719]
[47.85740447],1662555465.6807835,[5537.78537419],512,[5537.78537419]
[64.21682334],1662555465.7056906,[6397.63154682],672,[6397.63154682]
[67.0247833],1662555465.718425,[6806.61701868],696,[6806.61701868]
[45.53778537],1662555465.724481,[5569.405445],528,[5569.405445]
[129.65449884],1662555465.7388504,[10600.41508973],1008,[10600.41508973]
[115.49261384],1662555465.7444851,[9590.40410206],904,[9590.40410206]
[310.09644732],1662555465.772137,[20639.84861433],1400,[20639.84861433]
[79.84373092],1662555465.7760637,[7448.29691124],728,[7448.29691124]
[41.63105848],1662555465.7947395,[4880.47857404],432,[4880.47857404]
[79.59956049],1662555465.807124,[7525.45476743],784,[7525.45476743]
[95.71480894],1662555465.8107955,[8675.74166768],856,[8675.74166768]
[49.07825662],1662555465.8315308,[5440.11720181],496,[5440.11720181]
[73.12904407],1662555465.8445718,[7100.9644732],760,[7100.9644732]
[100.35404712],1662555465.862957,[8336.46685386],864,[8336.46685386]
[1000.12208522],1662555465.888431,[90986.20437065],3288,[90986.20437065]
[58.60090343],1662555465.8917358,[5777.43865218],544,[5777.43865218]
[235.25821023],1662555465.8984697,[16456.35453547],1272,[16456.35453547]
[51.51996093],1662555465.9095325,[5800.5127579],584,[5800.5127579]
[40.89854719],1662555465.9163117,[5247.22256135],472,[5247.22256135]
[52.61872787],1662555465.9283178,[6223.78219998],664,[6223.78219998]
[66.04810157],1662555465.9363964,[6636.67439873],656,[6636.67439873]
[59.08924429],1662555465.946532,[6253.81516298],608,[6253.81516298]
[58.96715908],1662555465.9593418,[5969.2345257],520,[5969.2345257]
[269.19790013],1662555465.9675956,[18225.85764864],1312,[18225.85764864]
